"MF08_Individual Supply + Individual Exhaust (WSHP)  /  Proposed  /  EX03_MF08_Central-WSHP_CZ09.cibd25x",001
"Thu 11-Jun-26  10: pm"
"x-ldPass","Hour"
"Month","Day","Hr","CW Loop-HtgLd (Btu)","ClgLd (Btu)","NetLd (Btu)","DemFlw (gpm)","ActualFlw (gpm)","NetLd (W)","FlowFrac"
1,16,17,0,0,0,0,14.1,0,0
1,16,18,0,0,0,0,14.1,0,0
1,16,19,0,0,0,0,14.1,0,0
1,16,20,0,0,0,0,14.1,0,0
1,16,21,0,0,0,0,14.1,0,0
1,16,22,0,0,0,0,14.1,0,0
1,16,23,0,0,0,0,14.1,0,0
1,16,24,0,0,0,0,14.1,0,0
1,17,1,0,0,0,0,14.1,0,0
1,17,2,0,0,0,0,14.1,0,0
1,17,3,0,0,0,0,14.1,0,0
1,17,4,0,0,0,0,14.1,0,0
1,17,5,0,0,0,0,14.1,0,0
1,17,6,0,0,0,0,14.1,0,0
1,17,7,0,0,0,0,14.1,0,0
1,17,8,0,0,0,0,14.1,0,0
1,17,9,0,0,0,0,14.1,0,0
1,17,10,0,0,0,0,14.1,0,0
1,17,11,0,0,0,0,14.1,0,0
1,17,12,0,0,0,0,14.1,0,0
1,17,13,0,0,0,0,14.1,0,0
1,17,14,0,0,0,0,14.1,0,0
1,17,15,0,0,0,0,14.1,0,0
1,17,16,0,0,0,0,14.1,0,0
1,17,17,0,0,0,0,14.1,0,0
1,17,18,0,0,0,0,14.1,0,0
1,17,19,0,0,0,0,14.1,0,0
1,17,20,0,0,0,0,14.1,0,0
1,17,21,0,0,0,0,14.1,0,0
1,17,22,0,0,0,0,14.1,0,0
1,17,23,0,0,0,0,14.1,0,0
1,17,24,0,0,0,0,14.1,0,0
1,18,1,0,0,0,0,14.1,0,0
1,18,2,0,0,0,0,14.1,0,0
1,18,3,0,0,0,0,14.1,0,0
1,18,4,0,0,0,0,14.1,0,0
1,18,5,0,0,0,0,14.1,0,0
1,18,6,0,0,0,0,14.1,0,0
1,18,7,0,0,0,0,14.1,0,0
1,18,8,0,0,0,0,14.1,0,0
1,18,9,0,0,0,0,14.1,0,0
1,18,10,0,0,0,0,14.1,0,0
1,18,11,0,0,0,0,14.1,0,0
1,18,12,0,0,0,0,14.1,0,0
1,18,13,0,0,0,0,14.1,0,0
1,18,14,0,0,0,0,14.1,0,0
1,18,15,0,0,0,0,14.1,0,0
1,18,16,0,0,0,0,14.1,0,0
1,18,17,0,0,0,0,14.1,0,0
1,18,18,0,0,0,0,14.1,0,0
1,18,19,0,0,0,0,14.1,0,0
1,18,20,0,0,0,0,14.1,0,0
1,18,21,0,0,0,0,14.1,0,0
1,18,22,0,0,0,0,14.1,0,0
1,18,23,0,0,0,0,14.1,0,0
1,18,24,0,0,0,0,14.1,0,0
1,19,1,0,0,0,0,14.1,0,0
1,19,2,0,0,0,0,14.1,0,0
1,19,3,0,0,0,0,14.1,0,0
1,19,4,0,0,0,0,14.1,0,0
1,19,5,0,0,0,0,14.1,0,0
1,19,6,0,0,0,0,14.1,0,0
1,19,7,0,0,0,0,14.1,0,0
1,19,8,0,0,0,0,14.1,0,0
1,19,9,0,0,0,0,14.1,0,0
1,19,10,0,0,0,0,14.1,0,0
1,19,11,0,0,0,0,14.1,0,0
1,19,12,0,0,0,0,14.1,0,0
1,19,13,0,0,0,0,14.1,0,0
1,19,14,0,0,0,0,14.1,0,0
1,19,15,0,0,0,0,14.1,0,0
1,19,16,0,0,0,0,14.1,0,0
1,19,17,0,0,0,0,14.1,0,0
1,19,18,0,0,0,0,14.1,0,0
1,19,19,0,0,0,0,14.1,0,0
1,19,20,0,0,0,0,14.1,0,0
1,19,21,0,0,0,0,14.1,0,0
1,19,22,0,0,0,0,14.1,0,0
1,19,23,0,0,0,0,14.1,0,0
1,19,24,0,0,0,0,14.1,0,0
1,20,1,0,0,0,0,14.1,0,0
1,20,2,0,0,0,0,14.1,0,0
1,20,3,0,0,0,0,14.1,0,0
1,20,4,0,0,0,0,14.1,0,0
